CostoDespachoId,Comuna,Valor,Pmin,Pmax,Nombre Comuna,numberID
1,1539,7767,0,3,ARICA (XV Región de Arica y Parinacota),1638
2,1539,2506,"3,1",6,ARICA (XV Región de Arica y Parinacota),1638
3,1539,2465,"6,1",10,ARICA (XV Región de Arica y Parinacota),1638
4,1539,2441,"10,1",20,ARICA (XV Región de Arica y Parinacota),1638
5,1539,2428,21,50,ARICA (XV Región de Arica y Parinacota),1638
6,1539,2423,51,100,ARICA (XV Región de Arica y Parinacota),1638
7,1539,2421,101,200,ARICA (XV Región de Arica y Parinacota),1638
8,1539,2420,201,400,ARICA (XV Región de Arica y Parinacota),1638
9,1539,2419,401,600,ARICA (XV Región de Arica y Parinacota),1638
10,1539,2419,601,1000,ARICA (XV Región de Arica y Parinacota),1638
11,1539,2419,1001,2000,ARICA (XV Región de Arica y Parinacota),1638
12,1539,2419,2001,3500,ARICA (XV Región de Arica y Parinacota),1638
13,1539,2419,3501,5000,ARICA (XV Región de Arica y Parinacota),1638
14,1539,2419,5001,10000,ARICA (XV Región de Arica y Parinacota),1638
15,1539,2419,10001,18000,ARICA (XV Región de Arica y Parinacota),1638
16,1540,7767,0,3,RANCHO ARICA (XV Región de Arica y Parinacota),1639
17,1540,2506,"3,1",6,RANCHO ARICA (XV Región de Arica y Parinacota),1639
18,1540,2465,"6,1",10,RANCHO ARICA (XV Región de Arica y Parinacota),1639
19,1540,2441,"10,1",20,RANCHO ARICA (XV Región de Arica y Parinacota),1639
20,1540,2428,21,50,RANCHO ARICA (XV Región de Arica y Parinacota),1639
21,1540,2423,51,100,RANCHO ARICA (XV Región de Arica y Parinacota),1639
22,1540,2421,101,200,RANCHO ARICA (XV Región de Arica y Parinacota),1639
23,1540,2420,201,400,RANCHO ARICA (XV Región de Arica y Parinacota),1639
24,1540,2419,401,600,RANCHO ARICA (XV Región de Arica y Parinacota),1639
25,1540,2419,601,1000,RANCHO ARICA (XV Región de Arica y Parinacota),1639
26,1540,2419,1001,2000,RANCHO ARICA (XV Región de Arica y Parinacota),1639
27,1540,2419,2001,3500,RANCHO ARICA (XV Región de Arica y Parinacota),1639
28,1540,2419,3501,5000,RANCHO ARICA (XV Región de Arica y Parinacota),1639
29,1540,2419,5001,10000,RANCHO ARICA (XV Región de Arica y Parinacota),1639
30,1540,2419,10001,18000,RANCHO ARICA (XV Región de Arica y Parinacota),1639
31,1541,8577,0,3,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
32,1541,2768,"3,1",6,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
33,1541,2661,"6,1",10,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
34,1541,2644,"10,1",20,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
35,1541,2551,21,50,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
36,1541,2521,51,100,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
37,1541,2497,101,200,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
38,1541,2486,201,400,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
39,1541,2478,401,600,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
40,1541,2467,601,1000,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
41,1541,2459,1001,2000,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
42,1541,2449,2001,3500,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
43,1541,2444,3501,5000,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
44,1541,2436,5001,10000,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
45,1541,2431,10001,18000,ALTO RAMIREZ (XV Región de Arica y Parinacota),1640
46,1542,8577,0,3,AUSIPAR (XV Región de Arica y Parinacota),1641
47,1542,2768,"3,1",6,AUSIPAR (XV Región de Arica y Parinacota),1641
48,1542,2661,"6,1",10,AUSIPAR (XV Región de Arica y Parinacota),1641
49,1542,2644,"10,1",20,AUSIPAR (XV Región de Arica y Parinacota),1641
50,1542,2551,21,50,AUSIPAR (XV Región de Arica y Parinacota),1641
51,1542,2521,51,100,AUSIPAR (XV Región de Arica y Parinacota),1641
52,1542,2497,101,200,AUSIPAR (XV Región de Arica y Parinacota),1641
53,1542,2486,201,400,AUSIPAR (XV Región de Arica y Parinacota),1641
54,1542,2478,401,600,AUSIPAR (XV Región de Arica y Parinacota),1641
55,1542,2467,601,1000,AUSIPAR (XV Región de Arica y Parinacota),1641
56,1542,2459,1001,2000,AUSIPAR (XV Región de Arica y Parinacota),1641
57,1542,2449,2001,3500,AUSIPAR (XV Región de Arica y Parinacota),1641
58,1542,2444,3501,5000,AUSIPAR (XV Región de Arica y Parinacota),1641
59,1542,2436,5001,10000,AUSIPAR (XV Región de Arica y Parinacota),1641
60,1542,2431,10001,18000,AUSIPAR (XV Región de Arica y Parinacota),1641
61,1543,8577,0,3,AZAPA (XV Región de Arica y Parinacota),1642
62,1543,2768,"3,1",6,AZAPA (XV Región de Arica y Parinacota),1642
63,1543,2661,"6,1",10,AZAPA (XV Región de Arica y Parinacota),1642
64,1543,2644,"10,1",20,AZAPA (XV Región de Arica y Parinacota),1642
65,1543,2551,21,50,AZAPA (XV Región de Arica y Parinacota),1642
66,1543,2521,51,100,AZAPA (XV Región de Arica y Parinacota),1642
67,1543,2497,101,200,AZAPA (XV Región de Arica y Parinacota),1642
68,1543,2486,201,400,AZAPA (XV Región de Arica y Parinacota),1642
69,1543,2478,401,600,AZAPA (XV Región de Arica y Parinacota),1642
70,1543,2467,601,1000,AZAPA (XV Región de Arica y Parinacota),1642
71,1543,2459,1001,2000,AZAPA (XV Región de Arica y Parinacota),1642
72,1543,2449,2001,3500,AZAPA (XV Región de Arica y Parinacota),1642
73,1543,2444,3501,5000,AZAPA (XV Región de Arica y Parinacota),1642
74,1543,2436,5001,10000,AZAPA (XV Región de Arica y Parinacota),1642
75,1543,2431,10001,18000,AZAPA (XV Región de Arica y Parinacota),1642
76,1544,8577,0,3,POCONCHILE (XV Región de Arica y Parinacota),1643
77,1544,2768,"3,1",6,POCONCHILE (XV Región de Arica y Parinacota),1643
78,1544,2661,"6,1",10,POCONCHILE (XV Región de Arica y Parinacota),1643
79,1544,2644,"10,1",20,POCONCHILE (XV Región de Arica y Parinacota),1643
80,1544,2551,21,50,POCONCHILE (XV Región de Arica y Parinacota),1643
81,1544,2521,51,100,POCONCHILE (XV Región de Arica y Parinacota),1643
82,1544,2497,101,200,POCONCHILE (XV Región de Arica y Parinacota),1643
83,1544,2486,201,400,POCONCHILE (XV Región de Arica y Parinacota),1643
84,1544,2478,401,600,POCONCHILE (XV Región de Arica y Parinacota),1643
85,1544,2467,601,1000,POCONCHILE (XV Región de Arica y Parinacota),1643
86,1544,2459,1001,2000,POCONCHILE (XV Región de Arica y Parinacota),1643
