"zone","continent","country","state","postcode","class","weight","price","quantity","volume","cost","comment","active"
"ARICA (XV Región de Arica y Parinacota)",,,"CL:1638",,,"0-3",,,,"7767",,1
,,,"CL:1638",,,"3.1-6",,,,"2506",,1
,,,"CL:1638",,,"6.1-10",,,,"2465",,1
,,,"CL:1638",,,"10.1-20",,,,"2441",,1
,,,"CL:1638",,,"21-50",,,,"2428",,1
,,,"CL:1638",,,"51-100",,,,"2423",,1
,,,"CL:1638",,,"101-200",,,,"2421",,1
,,,"CL:1638",,,"201-400",,,,"2420",,1
,,,"CL:1638",,,"401-600",,,,"2419",,1
,,,"CL:1638",,,"601-1000",,,,"2419",,1
,,,"CL:1638",,,"1001-2000",,,,"2419",,1
,,,"CL:1638",,,"2001-3500",,,,"2419",,1
,,,"CL:1638",,,"3501-5000",,,,"2419",,1
,,,"CL:1638",,,"5001-10000",,,,"2419",,1
,,,"CL:1638",,,"10001-18000",,,,"2419",,1
"RANCHO ARICA (XV Región de Arica y Parinacota)",,,"CL:1639",,,"0-3",,,,"7767",,1
,,,"CL:1639",,,"3.1-6",,,,"2506",,1
,,,"CL:1639",,,"6.1-10",,,,"2465",,1
,,,"CL:1639",,,"10.1-20",,,,"2441",,1
,,,"CL:1639",,,"21-50",,,,"2428",,1
,,,"CL:1639",,,"51-100",,,,"2423",,1
,,,"CL:1639",,,"101-200",,,,"2421",,1
,,,"CL:1639",,,"201-400",,,,"2420",,1
,,,"CL:1639",,,"401-600",,,,"2419",,1
,,,"CL:1639",,,"601-1000",,,,"2419",,1
,,,"CL:1639",,,"1001-2000",,,,"2419",,1
,,,"CL:1639",,,"2001-3500",,,,"2419",,1
,,,"CL:1639",,,"3501-5000",,,,"2419",,1
,,,"CL:1639",,,"5001-10000",,,,"2419",,1
,,,"CL:1639",,,"10001-18000",,,,"2419",,1
"ALTO RAMIREZ (XV Región de Arica y Parinacota)",,,"CL:1640",,,"0-3",,,,"8577",,1
,,,"CL:1640",,,"3.1-6",,,,"2768",,1
,,,"CL:1640",,,"6.1-10",,,,"2661",,1
,,,"CL:1640",,,"10.1-20",,,,"2644",,1
,,,"CL:1640",,,"21-50",,,,"2551",,1
,,,"CL:1640",,,"51-100",,,,"2521",,1
,,,"CL:1640",,,"101-200",,,,"2497",,1
,,,"CL:1640",,,"201-400",,,,"2486",,1
,,,"CL:1640",,,"401-600",,,,"2478",,1
,,,"CL:1640",,,"601-1000",,,,"2467",,1
,,,"CL:1640",,,"1001-2000",,,,"2459",,1
,,,"CL:1640",,,"2001-3500",,,,"2449",,1
,,,"CL:1640",,,"3501-5000",,,,"2444",,1
,,,"CL:1640",,,"5001-10000",,,,"2436",,1
,,,"CL:1640",,,"10001-18000",,,,"2431",,1
"AUSIPAR (XV Región de Arica y Parinacota)",,,"CL:1641",,,"0-3",,,,"8577",,1
,,,"CL:1641",,,"3.1-6",,,,"2768",,1
,,,"CL:1641",,,"6.1-10",,,,"2661",,1
,,,"CL:1641",,,"10.1-20",,,,"2644",,1
,,,"CL:1641",,,"21-50",,,,"2551",,1
,,,"CL:1641",,,"51-100",,,,"2521",,1
,,,"CL:1641",,,"101-200",,,,"2497",,1
,,,"CL:1641",,,"201-400",,,,"2486",,1
,,,"CL:1641",,,"401-600",,,,"2478",,1
,,,"CL:1641",,,"601-1000",,,,"2467",,1
,,,"CL:1641",,,"1001-2000",,,,"2459",,1
,,,"CL:1641",,,"2001-3500",,,,"2449",,1
,,,"CL:1641",,,"3501-5000",,,,"2444",,1
,,,"CL:1641",,,"5001-10000",,,,"2436",,1
,,,"CL:1641",,,"10001-18000",,,,"2431",,1
"AZAPA (XV Región de Arica y Parinacota)",,,"CL:1642",,,"0-3",,,,"8577",,1
,,,"CL:1642",,,"3.1-6",,,,"2768",,1
,,,"CL:1642",,,"6.1-10",,,,"2661",,1
,,,"CL:1642",,,"10.1-20",,,,"2644",,1
,,,"CL:1642",,,"21-50",,,,"2551",,1
,,,"CL:1642",,,"51-100",,,,"2521",,1
,,,"CL:1642",,,"101-200",,,,"2497",,1
,,,"CL:1642",,,"201-400",,,,"2486",,1
,,,"CL:1642",,,"401-600",,,,"2478",,1
